year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2024,4,1,233.0 B,Arnault,Bernard,Bernard Arnault & family,1949-03-05,75,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],LVMH Moët Hennessy Louis Vuitton,Chairman and CEO,False,Increased
2024,4,2,195.0 B,Musk,Elon,Elon Musk,1971-06-28,52,Male,United States,United States,Austin,Automotive,['Automotive'],Tesla,CEO,True,Increased
2024,4,3,194.0 B,Bezos,Jeff,Jeff Bezos,1964-01-12,60,Male,United States,United States,Miami,Technology,['Technology'],Amazon,Chairman and Founder,True,Increased
2024,4,4,177.0 B,Zuckerberg,Mark,Mark Zuckerberg,1984-05-14,39,Male,United States,United States,Palo Alto,Technology,['Technology'],Meta Platforms,Cofounder,True,Increased
2024,4,5,141.0 B,Ellison,Larry,Larry Ellison,1944-08-17,79,Male,United States,United States,Woodside,Technology,['Technology'],Oracle,CTO and Founder,True,Increased
2024,4,6,133.0 B,Buffett,Warren,Warren Buffett,1930-08-30,93,Male,United States,United States,Omaha,Finance & Investments,['Finance & Investments'],Berkshire Hathaway Inc. (Cl A),CEO,True,Increased
2024,4,7,128.0 B,Gates,Bill,Bill Gates,1955-10-28,68,Male,United States,United States,Medina,Technology,['Technology'],Bill & Melinda Gates Foundation,Cochair,True,Increased
2024,4,8,121.0 B,Ballmer,Steve,Steve Ballmer,1956-03-24,68,Male,United States,United States,Hunts Point,Technology,['Technology'],Los Angeles Clippers,Owner,True,Increased
2024,4,9,116.0 B,Ambani,Mukesh,Mukesh Ambani,1957-04-19,66,Male,India,India,Mumbai,Diversified,['Diversified'],Reliance Industries,Chairman and managing director,False,Increased
2024,4,10,114.0 B,Page,Larry,Larry Page,1973-03-26,51,Male,United States,United States,Palo Alto,Technology,['Technology'],Alphabet,Cofounder and board member,True,Increased
2024,4,11,110.0 B,Brin,Sergey,Sergey Brin,1973-08-21,50,Male,United States,United States,Los Altos,Technology,['Technology'],Alphabet,Cofounder and board member,True,Increased
2024,4,12,106.0 B,Bloomberg,Michael,Michael Bloomberg,1942-02-14,82,Male,United States,United States,New York,Finance & Investments,['Finance & Investments'],Bloomberg,CEO,True,Increased
2024,4,13,103.0 B,Ortega,Amancio,Amancio Ortega,1936-03-28,88,Male,Spain,Spain,La Coruna,Fashion & Retail,['Fashion & Retail'],,,True,Increased
2024,4,14,102.0 B,Slim Helu,Carlos,Carlos Slim Helu & family,1940-01-28,84,Male,Mexico,Mexico,Mexico City,Telecom,['Telecom'],América Móvil,Honorary Chairman,True,Increased
2024,4,15,99.5 B,Bettencourt Meyers,Francoise,Francoise Bettencourt Meyers & family,1953-07-10,70,Female,France,France,Paris,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2024,4,16,91.0 B,Dell,Michael,Michael Dell,1965-02-23,59,Male,United States,United States,Austin,Technology,['Technology'],Dell,Chairman and CEO,True,Increased
2024,4,17,84.0 B,Adani,Gautam,Gautam Adani,1962-06-24,61,Male,India,India,Ahmedabad,Diversified,['Diversified'],,,True,Increased
2024,4,18,78.4 B,Walton,Jim,Jim Walton & family,1948-06-07,75,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],"Arvest Bank Group, Inc.",Chairman and CEO,False,Increased
2024,4,19,77.4 B,Walton,Rob,Rob Walton & family,1944-10-27,79,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],Walmart,Director,False,Increased
2024,4,20,77.0 B,Huang,Jensen,Jensen Huang,1963-02-17,61,Male,United States,United States,Los Altos,Technology,['Technology'],NVIDIA,CEO & President,True,Increased
2024,4,21,72.3 B,Walton,Alice,Alice Walton,1949-10-07,74,Female,United States,United States,Fort Worth,Fashion & Retail,['Fashion & Retail'],Crystal Bridges Museum of American Art,Philanthropist,False,Increased
2024,4,22,67.8 B,Thomson,David,David Thomson & family,1957-06-12,66,Male,Canada,Canada,Toronto,Media & Entertainment,['Media & Entertainment'],Thomson Reuters Corporation,Chairman,False,Increased
2024,4,23,64.3 B,Koch,Julia,Julia Koch & family,1962-04-12,61,Female,United States,United States,New York,Diversified,['Diversified'],,,False,Increased
2024,4,24,62.3 B,Zhong,Shanshan,Zhong Shanshan,1954-12-01,69,Male,China,China,Hangzhou,Food & Beverage,['Food & Beverage'],,,True,Decreased
2024,4,25,58.5 B,Koch,Charles,Charles Koch & family,1935-11-01,88,Male,United States,United States,Wichita,Diversified,['Diversified'],"Koch Industries, Inc.",Chairman and CEO,False,Decreased
2024,4,26,43.8 B,Ferrero,Giovanni,Giovanni Ferrero,1964-09-21,59,Male,Italy,Belgium,Brussels,Food & Beverage,['Food & Beverage'],,,False,Increased
2024,4,27,43.4 B,Pangestu,Prajogo,Prajogo Pangestu,1944-05-13,79,Male,Indonesia,Indonesia,Jakarta,Diversified,['Diversified'],,,False,Increased
2024,4,27,43.4 B,Zhang,Yiming,Zhang Yiming,1984-01-01,40,Male,China,Singapore,Singapore,Technology,['Technology'],ByteDance,Founder,True,Decreased
2024,4,29,42.8 B,Yanai,Tadashi,Tadashi Yanai & family,1949-02-07,75,Male,Japan,Japan,Tokyo,Fashion & Retail,['Fashion & Retail'],,,True,Increased
2024,4,30,40.9 B,Knight,Phil,Phil Knight & family,1938-02-24,86,Male,United States,United States,Hillsboro,Fashion & Retail,['Fashion & Retail'],Nike,Chairman,True,Decreased
2024,4,31,39.6 B,Mateschitz,Mark,Mark Mateschitz,1992-05-07,31,Male,Austria,Austria,Salzburg,Food & Beverage,['Food & Beverage'],,,False,Increased
2024,4,32,39.2 B,Kuehne,Klaus-Michael,Klaus-Michael Kuehne,1937-06-02,86,Male,Germany,Switzerland,Schindellegi,Logistics,['Logistics'],,,False,Increased
2024,4,33,38.9 B,Huang,Colin,Colin Huang,1980-02-02,44,Male,China,China,Shanghai,Technology,['Technology'],,,True,Increased
2024,4,34,38.8 B,Schwarzman,Stephen,Stephen Schwarzman,1947-02-14,77,Male,United States,United States,New York,Finance & Investments,['Finance & Investments'],Blackstone,Chairman and CEO,True,Increased
2024,4,35,38.5 B,Mars,Jacqueline,Jacqueline Mars,1939-10-10,84,Female,United States,United States,The Plains,Food & Beverage,['Food & Beverage'],,,False,Increased
2024,4,35,38.5 B,Mars,John,John Mars,1935-10-15,88,Male,United States,United States,Jackson,Food & Beverage,['Food & Beverage'],,,False,Increased
2024,4,37,38.0 B,Schwarz,Dieter,Dieter Schwarz,1939-09-24,84,Male,Germany,Germany,Neckarsulm,Fashion & Retail,['Fashion & Retail'],,,False,Decreased
2024,4,38,37.3 B,Li,Ka-shing,Li Ka-shing,1928-06-13,95,Male,Hong Kong,Hong Kong,Hong Kong,Diversified,['Diversified'],CK Hutchison Holdings,Senior Advisor,True,Decreased
